"created","duration","id","name","rsvp_limit","status","time","local_date","local_time","updated","utc_offset","waitlist_count","yes_rsvp_count","link","description","visibility","comment_count","venue.id","venue.name","venue.lat","venue.lon","venue.repinned","venue.address_1","venue.city","venue.country","venue.localized_country_name","group.created","group.name","group.id","group.join_mode","group.lat","group.lon","group.urlname","group.who","group.localized_location","group.region","photo_album.photo_sample","manual_attendance_count","rsvp_close_offset","venue.zip","venue.state","how_to_find_us","photo_album.id","photo_album.title","photo_album.photo_count"
1508237770000,10800000,"244275904","R Lightening Talks by R-Ladies",1,"upcoming",1511893800000,"2017-11-28","18:30",1508239654000,0,24,1,"https://www.meetup.com/rladies-london/events/244275904/","<p>Come along to learn tips and new skills in R, talk with other analysts and data scientists, and support our speakers.</p> <p>Please register on eventbrite here (not on meetup): <a href=""https://www.eventbrite.co.uk/e/r-lightening-talks-by-rladies-tickets-39005518556"" class=""linkified"">https://www.eventbrite.co.uk/e/r-lightening-talks-by-rladies-tickets-39005518556</a></p> <p>We have speakers lined up to show case their experience of web-scraping, excel conversions, package building, catastrophe modelling and more- all in easily digestible 5 minute talks!</p> <p>Come for talks starting at 6.30 and food, drinks and networking after.<br/>This event is being hosted by Deliveroo.</p> ","public",1,25500441,"Deliveroo Offices, Cannon Street Station",51.5101089477539,-0.0910929962992668,FALSE,"1 Cousin Lane, EC4R 3TE","London","gb","United Kingdom",1454258193000,"R-Ladies London",19474893,"approval",51.5200004577637,-0.100000001490116,"rladies-london","R-Ladies","London, United Kingdom","en_US",,,,,,,,,
1509675922000,10800000,"244773109","Introduction to R Shiny",90,"upcoming",1511418600000,"2017-11-23","17:30",1511141821000,39600000,0,88,"https://www.meetup.com/R-Ladies-Melbourne/events/244773109/","<p><img src=""https://secure.meetupstatic.com/photos/event/4/5/0/9/600_465857673.jpeg"" /></p> <p>Hi Everyone!</p> <p><br/>This month R-Ladies Melbourne is thrilled to announce that two of our members, Marie Trussart and Soroor Hediyeh-zadeh, will be presenting an introductory R Shiny workshop! </p> <p>As massive high-dimensional data are being produced, fully interactive visualisation of these large data sets becomes critical to unravel the patterns from large complexities. It also permits the user to play with the data and make the information more understandable. In addition, interactive data manipulation enables to study the behaviour of a mathematical model, as the parameters of the model are being modified which can be helpful for example in developing interactive education materials.It is even used by newspapers like the New York Times and scientific papers like Science.</p> <p>R shiny is an excellent framework to turn an R analysis into an interactive web application and we will be presenting a two-hour introductory workshop to build interactive apps with R Shiny.</p> <p>In this workshop, we will cover the structure of R Shiny Apps, and the concept of reactivity, where an 'event' such as changing the value of the input or selecting a row in a table, triggers a set of reactions and results in updating the output value. We will also briefly talk about ways to publish and distribute an app publicly.</p> <p>A little about Marie and Soroor:</p> <p>Marie graduated from the Institut National des Sciences Appliquées de Toulouse in France in the major of engineering and mathematics, and got her PhD degree on System Biology and Structural Biology Modeling from the Centre for Genomic Regulation in Barcelona. Marie has joined Terry Speed lab’s as a Postdoctoral research fellow about a year ago, in the Bioinformatics Division at the Walter and Eliza Hall Institute of Medical Research.</p> <p>Soroor is a Research Assistant in Davis laboratory, also in the Bioinformatics Division at the Walter and Eliza Hall Institute of Medical Research. She joined Davis laboratory in 2014 as a UROP student, and was promoted to a RA in 2016. She is currently doing a part-time masters degree in Statistics at the University of Melbourne.</p> <p>This will be a fantastic workshop and we can't wait to see you all there!</p> <p>Pizza and drinks will be provided!</p> <p>R-Ladies Melbourne</p> ","public",0,,,,,,,,,,1472776317000,"R-Ladies Melbourne",20378903,"open",-37.810001373291,144.960006713867,"R-Ladies-Melbourne","Members","Melbourne, Australia","en_US",,,,,,,,,
1509671425000,,"244770763","Meetup Mixup Melbourne [$8.80]",,"upcoming",1513839600000,"2017-12-21","18:00",1509671473000,39600000,0,1,"https://www.meetup.com/R-Ladies-Melbourne/events/244770763/","<p>We invite our members to attend to Melbourne's combined end of year mixer: Meetup Mixup Melbourne! It's a fantastic opportunity to relax with a cold beverage and celebrate a year of meetups! You must register here: <a href=""https://melbourne.meetupmixup.com/"" class=""linkified"">https://melbourne.meetupmixup.com/</a></p> ","public",0,24226075,"Loop Project Space & Bar",-37.8120765686035,144.972076416016,FALSE,"23 Meyers Place","Melbourne","au","Australia",1472776317000,"R-Ladies Melbourne",20378903,"open",-37.810001373291,144.960006713867,"R-Ladies-Melbourne","Members","Melbourne, Australia","en_US",,0,,,,,,,
1510539674000,7200000,"245064725","R in the world of Education",,"upcoming",1513121400000,"2017-12-12","18:30",1510539762000,-18000000,0,45,"https://www.meetup.com/rladies-newyork/events/245064725/","<p>We are very excited to announce our last meetup of the year with Erin Grand.</p> <p>Her Talk: Many schools across the country are starting to use data to help improve student outcomes. In this talk, Erin will discuss what kind of data she gets to dive into and some of the challenges each project faces. She'll talk about ways to clean messy data, how using R has helped speed up everything, and the amazing janitor package.</p> <p>Her Bio:  Erin joined Uncommon Schools as an Associate Director of Data Analytics in the summer of 2016. Prior to Uncommon, she worked as a Data Scientist at Crisis Text Line and a software programmer at NASA. She recently completed her masters in Data Science at Columbia University. In the past, Erin researched star formation and taught introductory courses in astronomy and physics. In her free time, Erin enjoys reading, dancing and singing loudly to musical theatre.</p> <p>Agenda: </p> <p>6:30-6:45pm Light networking</p> <p>6:45-7:00pm R-Ladies New York Announcements</p> <p>7:00-7:45pm R in the world of Education by Erin Grand with Q&amp;A</p> <p>7:45-8:30pm End of year celebration/networking for R-ladies NewYork.</p> <p>We want to thank our very generous host, AT&amp;T NYC Data Science Research Center(<a href=""http://stats.research.att.com/"">stats.research.att.com</a>) for having us in their space. </p> ","public",2,25608394,"AT&T NYC Data Science Research Center",40.7165946960449,-74.0060501098633,FALSE,"33 Thomas Street  New York, NY 10007","New York","us","USA",1471986060000,"R-Ladies New York",20346526,"open",40.75,-73.9899978637695,"rladies-newyork","Rladies","New York, NY","en_US",,,"PT24H","","NY",,,,
1507644441000,5400000,"244082002","R Beginners - Third Session",30,"upcoming",1512084600000,"2017-11-30","18:30",1508253296000,-18000000,3,30,"https://www.meetup.com/rladies-dc/events/244082002/","<p>This is the third workshop in our R Beginners series. We'll do a deeper dive into plotting and begin learning about R markdown. No prior experience with R is necessary - just please attempt installing R and Rstudio prior to attending :) Please don't forget to let me know your full name by COB the day before for the attendence list.<br/>Note: this date and location is still tentative!</p> ","public",2,25255740,"All Above All (offices)",38.9060974121094,-77.0407180786133,FALSE,"1201 Connecticut Ave., NW, Suite 300","Washington","us","USA",1481140109000,"R-Ladies Washington D.C.",21510971,"open",38.9099998474121,-77.0199966430664,"rladies-dc","R-Ladies","Washington, DC","en_US",,,,"","DC",,,,
,,"242739422","Holiday Exodus Pub Night",,,1513119600000,,,,-18000000,0,2,"https://www.meetup.com/rladies-boston/events/242739422/",,"public_limited",,,,,,,,,,,1474065871000,"R-Ladies Boston",20433637,"approval",42.3600006103516,-71.0699996948242,"rladies-boston","R-ladies","Boston, MA","en_US",,,,,,,,,
1509071672000,7200000,"244563691","Working with web APIs in R",,"upcoming",1511823600000,"2017-11-27","18:00",1510881952000,-18000000,0,27,"https://www.meetup.com/R-Ladies-RTP/events/244563691/","<p>This meetup will feature three talks on working with three different web APIs in R:</p> <p>- Twitter<br/>- Zillow<br/>- Google NGram</p> <p>As always, if you're interested in giving a 5-minute presentation featuring your work in R (ideally related to the workshop topic, but we're flexible), please email [masked] and/or [masked] with your brief pitch.</p> <p>Dinner and space will be provided by NC State Statistics Graduate Student Association!</p> <p>All events are intended for women as leaders, mentors, members, and attendees. We are emphatically queer and trans friendly. Men are welcomed to attend as guests. This group was created so those who identify as women have a comfortable place to learn. If you would like to attend and feel excluded, please introduce yourself to an organizer.</p> <p>Parking: Right outside of SAS Hall, free after 5pm.</p> ","public",6,,,,,,,,,,1471270976000,"R-Ladies RTP",20317472,"open",36,-78.9000015258789,"R-Ladies-RTP","Members","Durham, NC","en_US",,,,,,,,,
1511185882000,7200000,"245252673","Book Club",,"upcoming",1.512432e+12,"2017-12-04","19:00",1511185882000,-18000000,0,12,"https://www.meetup.com/R-Ladies-RTP/events/245252673/","<p>• What we'll do<br/>Join us as we work through the first section of R for Data Science (<a href=""http://r4ds.had.co.nz/explore-intro.html"" class=""linkified"">http://r4ds.had.co.nz/explore-intro.html</a>) in small groups. This is a great way for both new and experienced users to become more familiar with R.</p> <p>All events are intended for women as leaders, mentors, members, and attendees. We are emphatically queer and trans friendly. Men are welcomed to attend as guests. This group was created so those who identify as women have a comfortable place to learn. If you would like to attend and feel excluded, please introduce yourself to an organizer.</p> <p>• What to bring<br/>Please bring your own laptop.</p> ","public",1,6300922,"Durham Public Library - South Regional Branch",35.9023323059082,-78.888298034668,FALSE,"4505 S. Alston Ave","Durham","us","USA",1471270976000,"R-Ladies RTP",20317472,"open",36,-78.9000015258789,"R-Ladies-RTP","Members","Durham, NC","en_US",,,,"27713","NC","Turn right when you first walk in and you will find us sitting near the circular tables designated for quiet group discussion.",,,
1511186164000,7200000,"245252742","Book Club",,"upcoming",1513036800000,"2017-12-11","19:00",1511186164000,-18000000,0,5,"https://www.meetup.com/R-Ladies-RTP/events/245252742/","<p>• What we'll do<br/>Join us as we work through the second section of R for Data Science (<a href=""http://r4ds.had.co.nz/wrangle-intro.html"" class=""linkified"">http://r4ds.had.co.nz/wrangle-intro.html</a>) in small groups. This is a great way for both new and experienced users to become more familiar with R.</p> <p>All events are intended for women as leaders, mentors, members, and attendees. We are emphatically queer and trans friendly. Men are welcomed to attend as guests. This group was created so those who identify as women have a comfortable place to learn. If you would like to attend and feel excluded, please introduce yourself to an organizer.</p> <p>• What to bring<br/>Please bring your own laptop.</p> ","public",0,6300922,"Durham Public Library - South Regional Branch",35.9023323059082,-78.888298034668,FALSE,"4505 S. Alston Ave","Durham","us","USA",1471270976000,"R-Ladies RTP",20317472,"open",36,-78.9000015258789,"R-Ladies-RTP","Members","Durham, NC","en_US",,,,"27713","NC","Turn right when you first walk in and you'll find us sitting near the circular tables designated for quiet group discussion.",,,
1509631378000,7200000,"244750974","End of the Year Potluck with PyLadies RDU",,"upcoming",1.513206e+12,"2017-12-13","18:00",1510451745000,-18000000,0,11,"https://www.meetup.com/R-Ladies-RTP/events/244750974/","<p>The end of the year is a great time to relax, reflect and reequip. Please join R-Ladies RTP and PyLadies RDU for a potluck social including:</p> <p>1) Career Advice: Led by a member of PyLadies RDU.<br/>2) Speed Mentoring: We will use the format for PyLadies Boston<br/>3) Plenty of time to eat, drink and get to know each other.</p> <p>Please let us know what you plan on bringing to the potluck by signing up here: <a href=""http://signup.com/go/sZimTwh""><a href=""http://signup.com/go/sZimTwh"" class=""linkified"">http://signup.com/go/sZimTwh</a></a></p> <p><br/>This is a great time to reconnect with R-Ladies and meet PyLadies!</p> <p>All events are intended for women as leaders, mentors, members, and attendees. We are emphatically queer and trans friendly. Men are welcomed to attend as guests. This group was created so those who identify as women have a comfortable place to learn. If you would like to attend and feel excluded, please introduce yourself to an organizer.</p> ","public",0,25588409," Genesys",35.8741111755371,-78.8425979614258,FALSE,"4307 Emperor Blvd, Suite #300","Durham","us","USA",1471270976000,"R-Ladies RTP",20317472,"open",36,-78.9000015258789,"R-Ladies-RTP","Members","Durham, NC","en_US",,,,"","NC",,,,
1511186423000,7200000,"245252807","Book Club",,"upcoming",1513641600000,"2017-12-18","19:00",1511186423000,-18000000,0,6,"https://www.meetup.com/R-Ladies-RTP/events/245252807/","<p>• What we'll do<br/>Join us as we work through the third section of R for Data Science (<a href=""http://r4ds.had.co.nz/program-intro.html"" class=""linkified"">http://r4ds.had.co.nz/program-intro.html</a>) in small groups. This is a great way for both new and experienced users to become more familiar with R.</p> <p>We'll take a couple weeks off for the holidays and continue with Book Club in early 2018!</p> <p>All events are intended for women as leaders, mentors, members, and attendees. We are emphatically queer and trans friendly. Men are welcomed to attend as guests. This group was created so those who identify as women have a comfortable place to learn. If you would like to attend and feel excluded, please introduce yourself to an organizer.</p> <p>• What to bring<br/>Please bring your own laptop.</p> ","public",0,6300922,"Durham Public Library - South Regional Branch",35.9023323059082,-78.888298034668,FALSE,"4505 S. Alston Ave","Durham","us","USA",1471270976000,"R-Ladies RTP",20317472,"open",36,-78.9000015258789,"R-Ladies-RTP","Members","Durham, NC","en_US",,,,"27713","NC","Turn right when you first walk in and you will find us sitting near the circular tables designated for quiet group discussion.",,,
1507362867000,,"244001325","R-Ladies November Meetup",,"upcoming",1511980200000,"2017-11-29","18:30",1507362867000,0,0,23,"https://www.meetup.com/R-Ladies-Dublin/events/244001325/","<p>More details to follow</p> ","public",0,24361428,"Bank of Ireland",53.3498039245605,-6.26031017303467,FALSE,"Bank of Ireland, 1 Grand Canal Square, Grand Canal Quay, Dublin, Ireland","Dublin","ie","Ireland",1478992820000,"R-Ladies Dublin",21149852,"open",53.3300018310547,-6.25,"R-Ladies-Dublin","Members","Dublin, Ireland","en_US",,,,,,,28312475,"R-Ladies October Meetup",4
1509674863000,10800000,"244772792","R Markdown y cierre del año!",40,"upcoming",1511632800000,"2017-11-25","15:00",1511218485000,-10800000,0,40,"https://www.meetup.com/rladies-buenos-aires/events/244772792/","<p>Se viene el último evento del año! Y tenemos el taller de R Markdown para cerrar con broche de oro!!!</p> <p>R Markdown permite escribir informes reproducibles y dinámicos con R.  Podés usarlo para incluir código R y resultados en presentaciones, documentos pdf, html, Word y mas. Este taller está pensado desde un nivel básico-intermedio, así que no te preocupes si recién empiezas a codear en R.  Para aprovecharlo traé tu laptop con R y RStudio instalados (para más info de cómo hacer esto:<a href=""https://drive.google.com/open?id=0B0X9hdtcUykTdy1ZaVM3S3hxQ0k""><a href=""https://drive.google.com/open?id=0B0X9hdtcUykTdy1ZaVM3S3hxQ0k"" class=""linkified"">https://drive.google.com/open?id=0B0X9hdtcUykTdy1ZaVM3S3hxQ0k</a></a>.</p> <p>Si creés que te vendría bien una intro a R o un repaso antes de venir, <a href=""https://github.com/rladies/meetup-presentations_buenosaires/blob/master/README.md"">hacé click aquí</a> para ir al repositorio donde encontrarás todos los materiales de nuestros encuentros anteriores.</p> <p>Después del taller tendremos un espacio reservado para hacer sociales, así nos conocemos entre todxs y podemos compartir ideas para el próximo año. Este se realizará en el restaurant del Museo Evita, el consumo aprox. es de 150 pesos y además habrá torta especial de R-Ladies para todxs!</p> <p>Se vienen más detalles en unos días, por lo pronto revisá tu agenda y reservá tu lugar en el taller! Si confirmás asistencia pero luego no podés asistir, te pedimos por favor que dejes tu lugar disponible para otra persona ya que el espacio es limitado. Y si no podés asistir, el día de la reunión anunciaremos el acceso al streaming del evento. </p> <p><br/>Cualquier consulta no dudes en escribirnos por meetup, slack o fb.</p> <p>-------------------------------------------------------------------------------------</p> <p>****El evento se realizará en el auditorio del Museo Evita, para llegar se toma la entrada del restaurant, el auditorio está subiendo al escalera que está a la derecha en el patio del restaurant****</p> <p><br/>*** Para asegurarte que tu notebook está lista para trabajar en el taller, si es posible, por favor, actualizá tu versión de R y RStudio. También para instalar los paquetes necesarios para el taller, desde RStudio seguí estos pasos: 1) File -&gt; New file -&gt; R Markdown... 2) Se abrirá un cuadro de diálogo, hacé clic en ""Ok"" 3) Se abrirá un script de R ""Untitled 1"", apretá Ctrl+Shift+K 4) Pedirá grabar el archivo, ponéle un nombre y hacé clic en ""Ok"" 5) Si necesitás instalar paquetes, RStudio te avisará y lo hará. Si todo va bien, al final se abrirá una ventana mostrando un documento que comienza con la palabra ""Untitled"". Cerrá todo, ya estás lista para el taller.</p> <p><br/>Si surge algún problema durante este proceso, avisános por meetup, Slack o llegá un ratito antes al taller así tratamos de solucionarlo entre todas****</p> <p>Saludos!</p> ","public",0,,,,,,,,,,1483482058000,"R-Ladies Buenos Aires",21760043,"approval",-34.6100006103516,-58.3699989318848,"rladies-buenos-aires","R Ladies","Buenos Aires, Argentina","en_US",,,"PT356H45M",,,,,,
1507561052000,7200000,"244054490","Retour d'expérience : compétition Kaggle avec R",50,"upcoming",1.511892e+12,"2017-11-28","19:00",1510312060000,3600000,0,26,"https://www.meetup.com/rladies-paris/events/244054490/","<p><img src=""https://secure.meetupstatic.com/photos/event/4/7/f/9/600_466038425.jpeg"" /></p> <p>Mercedes Sgobba, une de nos membres, nous a gentiment proposé de nous présenter son expérience d'utilisation de R dans le cadre d'une compétition Kaggle.</p> <p>Il y a environ un an, le Groupe Bimbo a lancé une compétition Kaggle pour améliorer son activité.</p> <p>Le Groupe Bimbo est la plus grande boulangerie au monde.</p> <p>Description de la compétition :</p> <p>Le Groupe Bimbo voudrait comprendre la consommation journalière de pain/produits de boulangerie au Mexique où les produits sont vendus dans les rayons de plus d’1 million de points de ventes.</p> <p>A date, les commandes quotidiennes sont calculées à la main par le personnel de livraison. Certains de ces produits ont une ‘shelf life’ d’une semaine au max. Il s’agira développer un modèle de prévision de la demande.</p> <p>Points clés : 74 millions d’observations, long travail de traitement de la donnée et jonction de plusieurs fichiers, élimination de duplicata, transformation en facteurs, ACP &amp; Corrélation de variables, plusieurs exemples de visualisations avec R, découverte de fraude et construction d’un modèle de prévisions de la demande via un algorithme, comparaison de modèles (régression linaire, random forest..).</p> <p><a href=""https://www.kaggle.com/c/grupo-bimbo-inventory-demand""><a href=""https://www.kaggle.com/c/grupo-bimbo-inventory-demand"" class=""linkified"">https://www.kaggle.com/c/grupo-bimbo-inventory-demand</a></a></p> ","public",4,24858812,"Ecole Normale Superieure",48.8434715270996,2.34482097625732,FALSE,"29, rue d'Ulm","Paris","fr","France",1474299591000,"R-Ladies Paris",20443056,"open",48.8600006103516,2.33999991416931,"rladies-paris","Members","Paris, France","en_US",,,,,,"Salle Langevin",,,
1507561615000,,"244054651","Analyse sentimentale de tweet + Introduction au web scraping avec rvest",50,"upcoming",1516816800000,"2018-01-24","19:00",1510906660000,3600000,0,7,"https://www.meetup.com/rladies-paris/events/244054651/","<p><img src=""http://www.groupe-estia.fr/wp-content/uploads/2017/01/logo-estia-retina.png"" /></p> <p><br/>Ce meetup sera en français.</p> <p><br/>La planification est actuellement en cours. Lieu &amp; Date à confirmer. </p> <p>Nous vous tiendrons au courant.</p> ","public",0,,,,,,,,,,1474299591000,"R-Ladies Paris",20443056,"open",48.8600006103516,2.33999991416931,"rladies-paris","Members","Paris, France","en_US",,,,,,,,,
1511001724000,,"245207806","End of the year Orga meeting",,"upcoming",1513274400000,"2017-12-14","19:00",1511001724000,3600000,0,8,"https://www.meetup.com/rladies-berlin/events/245207806/","<p>Dear R-Ladies and friends,</p> <p>In good coding tradition, let's evaluate what we did so far and plan our next steps. We will meet on December the 14th and have a nice evening at a restaurant. Everybody who wants to join planning the next Meetups is welcome!</p> <p>See you</p> <p>Christin, Noa, Ulrike and Hanna</p> ","public",2,,,,,,,,,,1477914332000,"R-Ladies Berlin",20977178,"open",52.5200004577637,13.3800001144409,"rladies-berlin","R-Ladies","Berlin, Germany","en_US",,,,,,"To be announced",,,
1510267850000,,"244977342","Tercera reunión de RLadies Santiago",40,"upcoming",1511384400000,"2017-11-22","18:00",1511012984000,-10800000,2,40,"https://www.meetup.com/rladies-scl/events/244977342/","<p>¡Ya tenemos fecha para nuestra reunión de noviembre! En este tercer meetup nos introduciremos en el “tidyverse”, una colección de paquetes de R que hacen el trabajo con datos mucho más amigable :) Nos concentraremos principalmente en la importación, transformación y exploración de datos. No es necesario tener conocimientos previos, solo tener descargado R (<a href=""https://cran.r-project.org/"" class=""linkified"">https://cran.r-project.org/</a>) , RStudio (<a href=""https://www.rstudio.com/products/rstudio/download/"" class=""linkified"">https://www.rstudio.com/products/rstudio/download/</a>) y los paquetes que conforman el tidyverse. Para esto último, debes correr el siguiente código: install.packages(""tidyverse”). Si tienes dudas sobre cómo hacer esto último, ¡escríbenos!</p> <p>En esta ocasión nos reuniremos en IBM, que se encuentra a pasos del metro Salvador.</p> <p>Además, participará Pablo Reinoso de IBM, con una charla sobre Data Science Experience - DSX.</p> <p>Trae tu computador, ya que es una sesión práctica :)</p> <p>¡Te esperamos!</p> ","public",1,25182503,"IBM Chile",-33.4334716796875,-70.6260223388672,FALSE,"Providencia 655, Providencia","Santiago","cl","Chile",1500409431000,"R-Ladies Santiago",25039094,"open",-33.4599990844727,-70.6399993896484,"rladies-scl","RLadies","Santiago, Chile","en_US",,,,,,"auditorio 7",,,
1505313771000,10800000,"243331084","Play in the snow, then clean up your mess! [working title :) ]",20,"upcoming",1512151200000,"2017-12-01","12:00",1510598137000,-21600000,0,8,"https://www.meetup.com/rladies-nashville/events/243331084/","<p>Laurie Samuels will be demo-ing some data cleaning packages, and Svetlana Eden will be demo-ing her snowflakes package for some seasonal flair! More details to come!</p> ","public",0,25237648,"The Wond'ry",36.1429710388184,-86.8057250976562,FALSE,"2414 Highland Avenue","Nashville","US","USA",1475090435000,"R-Ladies Nashville",20493986,"open",36.1699981689453,-86.7799987792969,"rladies-nashville","Members","Nashville, TN","en_US",,,,,,"The Wond'ry is in the new engineering building on Highland Avenue. When you enter the building, go up the main spiral staircase; we'll be in the conference room at the back of the glassed-in space. There's a parking garage across the street.",,,
